time 	 LH 	 RH
7701	 7701	 7701 
000.066	50.0000	50.0000	
000.071	50.0000	50.0000	
000.127	50.0000	50.0000	
000.186	50.0000	50.0000	
000.255	50.0000	50.0000	
000.316	51.5441	48.4559	
000.374	53.1005	46.8995	
000.437	54.6177	45.3823	
000.497	56.1378	43.8623	
000.562	57.6036	42.3964	
000.625	59.0138	40.9862	
000.685	60.3828	39.6172	
000.749	61.6771	38.3229	
000.813	62.8894	37.1106	
000.873	63.8195	36.1805	
000.937	64.6374	35.3626	
000.997	65.5122	34.4878	
001.061	66.3692	33.6308	
001.125	67.1944	32.8056	
001.185	67.9411	32.0589	
001.249	68.5985	31.4015	
001.313	69.1890	30.8110	
001.373	69.6468	30.3532	
001.437	70.0910	29.9090	
001.497	70.5347	29.4653	
001.561	70.9354	29.0646	
001.626	71.4185	28.5815	
001.685	71.9306	28.0694	
001.749	72.3717	27.6283	
001.813	72.7688	27.2312	
001.873	73.1640	26.8360	
001.937	73.3972	26.6028	
001.997	73.5391	26.4609	
002.061	73.6172	26.3828	
002.125	73.6636	26.3364	
002.185	73.7645	26.2355	
002.249	73.8391	26.1609	
002.313	73.9280	26.0720	
002.373	73.9252	26.0748	
002.437	73.8038	26.1962	
002.497	73.5912	26.4088	
002.561	73.3994	26.6006	
002.625	73.0798	26.9202	
002.686	72.8299	27.1701	
002.749	72.6083	27.3917	
002.813	72.4317	27.5683	
002.873	72.4204	27.5796	
002.937	72.4817	27.5183	
002.998	72.4337	27.5663	
003.061	72.3352	27.6648	
003.125	72.2780	27.7220	
003.185	72.1039	27.8961	
003.249	71.8869	28.1131	
003.313	71.7173	28.2827	
003.373	71.6523	28.3477	
003.437	71.6622	28.3378	
003.497	71.8286	28.1714	
003.561	72.0795	27.9205	
003.625	72.3522	27.6478	
003.693	72.5161	27.4839	
003.749	72.6067	27.3933	
003.813	72.6439	27.3561	
003.873	72.6717	27.3283	
003.937	72.7446	27.2553	
003.997	72.8938	27.1062	
004.061	73.0570	26.9430	
004.125	73.2645	26.7355	
004.185	73.5190	26.4810	
004.249	73.8261	26.1739	
004.313	74.1498	25.8502	
004.373	74.4007	25.5993	
004.437	74.7169	25.2831	
004.497	74.9416	25.0584	
004.561	75.0123	24.9877	
004.625	75.0924	24.9076	
004.685	75.0359	24.9641	
004.749	75.0049	24.9951	
004.813	75.0004	24.9996	
004.873	75.0011	24.9989	
004.937	75.0304	24.9696	
004.997	74.8932	25.1068	
005.061	74.7831	25.2169	
005.125	74.6982	25.3018	
005.185	74.5982	25.4018	
005.249	74.5967	25.4033	
005.313	74.4256	25.5744	
005.373	74.3974	25.6026	
005.437	74.2791	25.7209	
005.497	74.1106	25.8894	
005.561	73.8942	26.1058	
005.625	73.5115	26.4885	
005.685	73.2618	26.7382	
005.749	73.0628	26.9372	
005.813	72.8810	27.1190	
005.873	72.7639	27.2361	
005.937	72.7790	27.2210	
005.997	72.9469	27.0531	
006.061	73.1135	26.8865	
006.125	73.1456	26.8544	
006.185	73.3088	26.6912	
006.249	73.3906	26.6094	
006.313	73.3949	26.6051	
006.373	73.3682	26.6318	
006.437	73.3820	26.6180	
006.497	73.5552	26.4448	
006.561	73.8510	26.1490	
006.625	74.2428	25.7572	
006.685	74.5534	25.4466	
006.749	74.9588	25.0412	
006.813	75.3537	24.6463	
006.873	75.7623	24.2377	
006.937	76.2239	23.7761	
006.997	76.6647	23.3353	
007.061	76.9669	23.0330	
7702	 7702	 7702 
7701	 7701	 7701 
000.001	50.0000	50.0000	
000.006	50.0000	50.0000	
000.010	50.0000	50.0000	
000.063	52.5451	47.4549	
000.127	53.7677	46.2323	
000.191	54.7719	45.2281	
000.251	55.6231	44.3769	
000.315	56.4938	43.5062	
000.380	57.3830	42.6170	
000.444	58.2460	41.7540	
000.504	59.0314	40.9686	
000.564	59.8391	40.1609	
000.628	60.7656	39.2344	
000.692	61.6719	38.3281	
000.752	62.6356	37.3644	
000.816	63.4453	36.5547	
000.880	64.1975	35.8025	
000.943	64.8288	35.1712	
001.004	65.4125	34.5875	
001.064	66.0169	33.9831	
001.128	66.6795	33.3205	
001.191	67.3890	32.6110	
001.251	68.0394	31.9606	
001.316	68.6140	31.3860	
001.380	69.1938	30.8062	
001.443	69.8123	30.1877	
001.504	70.4612	29.5388	
001.564	71.0876	28.9124	
001.628	71.6438	28.3562	
001.692	72.2596	27.7404	
001.752	72.9071	27.0929	
001.816	73.6308	26.3692	
001.880	74.3589	25.6411	
001.944	75.1172	24.8828	
002.004	75.9374	24.0626	
002.064	76.6266	23.3734	
002.128	77.2342	22.7658	
002.192	77.8049	22.1951	
002.252	78.3534	21.6466	
002.316	78.9350	21.0650	
002.380	79.4607	20.5393	
002.444	79.9619	20.0381	
002.504	80.3766	19.6234	
002.564	80.7667	19.2333	
002.627	81.1274	18.8726	
002.691	81.4952	18.5048	
002.751	81.8159	18.1841	
002.815	82.0988	17.9012	
002.879	82.2557	17.7443	
002.944	82.2799	17.7201	
003.004	82.1300	17.8700	
003.064	82.0194	17.9806	
003.128	81.8566	18.1434	
003.192	81.7129	18.2871	
003.252	81.4534	18.5466	
003.316	81.1186	18.8814	
003.380	80.9237	19.0763	
003.444	80.7572	19.2428	
003.504	80.8166	19.1834	
003.564	80.9215	19.0785	
003.628	81.0999	18.9001	
003.692	81.2001	18.7999	
003.752	81.3542	18.6458	
003.816	81.5392	18.4608	
003.880	81.7429	18.2571	
003.944	81.9909	18.0091	
004.004	82.2753	17.7247	
004.064	82.5565	17.4435	
004.128	82.8577	17.1423	
004.192	83.1529	16.8471	
004.252	83.4689	16.5311	
004.316	83.7946	16.2054	
004.380	84.0660	15.9340	
004.444	84.3339	15.6661	
004.504	84.4167	15.5833	
004.564	84.4892	15.5108	
004.628	84.4664	15.5336	
004.691	84.4785	15.5215	
004.752	84.3116	15.6884	
004.816	84.0955	15.9045	
004.879	83.8809	16.1191	
004.944	83.6621	16.3379	
005.004	83.4526	16.5474	
005.064	83.2966	16.7034	
005.128	83.1351	16.8649	
005.191	82.8808	17.1192	
005.252	82.5929	17.4071	
005.316	82.3610	17.6390	
005.380	82.1885	17.8115	
005.443	82.0020	17.9980	
005.504	81.8893	18.1107	
005.564	81.7455	18.2545	
005.628	81.5609	18.4391	
005.692	81.3300	18.6700	
005.752	81.2655	18.7345	
005.816	81.1835	18.8165	
005.880	81.0736	18.9264	
005.944	80.9465	19.0535	
006.004	80.6995	19.3005	
006.064	80.3259	19.6741	
006.128	79.8857	20.1143	
006.192	79.4463	20.5537	
006.252	79.0658	20.9342	
006.316	78.6933	21.3067	
006.380	78.2489	21.7511	
006.443	77.9425	22.0575	
006.504	77.7123	22.2877	
006.564	77.5318	22.4682	
006.628	77.4782	22.5218	
006.692	77.4779	22.5221	
006.752	77.4622	22.5378	
006.816	77.4662	22.5338	
006.880	77.5403	22.4597	
006.944	77.5942	22.4058	
007.004	77.6530	22.3470	
7702	 7702	 7702 
7701	 7701	 7701 
000.001	50.0000	50.0000	
000.022	50.0000	50.0000	
000.025	51.2360	48.7640	
000.084	52.5209	47.4791	
000.148	53.7765	46.2235	
000.212	54.9865	45.0135	
000.276	56.0778	43.9222	
000.336	57.0221	42.9779	
000.396	57.9171	42.0829	
000.464	58.7943	41.2057	
000.524	59.5399	40.4601	
000.584	60.3575	39.6425	
000.648	61.3232	38.6768	
000.711	62.4018	37.5982	
000.776	63.4896	36.5104	
000.836	64.5257	35.4743	
000.895	65.5758	34.4242	
000.964	66.5385	33.4615	
001.024	67.3248	32.6752	
001.084	68.0449	31.9551	
001.148	68.7710	31.2290	
001.212	69.4530	30.5470	
001.276	70.1708	29.8292	
001.336	70.9159	29.0841	
001.396	71.6570	28.3430	
001.464	72.3399	27.6601	
001.524	73.1009	26.8991	
001.584	73.9009	26.0991	
001.648	74.7187	25.2813	
001.712	75.4740	24.5260	
001.776	76.1942	23.8058	
001.836	76.8628	23.1372	
001.896	77.4223	22.5777	
001.964	78.0151	21.9849	
002.024	78.4911	21.5089	
002.084	78.8908	21.1092	
002.148	79.1360	20.8640	
002.212	79.3056	20.6944	
002.276	79.4123	20.5877	
002.336	79.4718	20.5282	
002.396	79.4458	20.5542	
002.464	79.4104	20.5896	
002.524	79.1961	20.8039	
002.584	79.0429	20.9571	
002.648	78.7126	21.2874	
002.712	78.4271	21.5729	
002.776	78.1414	21.8586	
002.835	78.0076	21.9924	
002.896	77.8610	22.1390	
002.963	77.6125	22.3875	
003.023	77.6495	22.3505	
003.083	77.8456	22.1544	
003.147	78.2401	21.7599	
003.211	78.6859	21.3141	
003.276	79.1864	20.8136	
003.336	79.7654	20.2346	
003.396	80.3711	19.6289	
003.463	80.9916	19.0084	
003.523	81.5612	18.4388	
003.584	82.1024	17.8976	
003.648	82.6572	17.3428	
003.712	83.1547	16.8453	
003.775	83.6121	16.3879	
003.835	84.0701	15.9299	
003.895	84.4728	15.5272	
003.963	84.8023	15.1977	
004.024	84.9998	15.0002	
004.084	85.2075	14.7925	
7702	 7702	 7702 
7701	 7701	 7701 
000.001	50.0000	50.0000	
000.009	50.0000	50.0000	
000.012	50.0000	50.0000	
000.070	52.9755	47.0245	
000.134	54.3736	45.6264	
000.194	55.6422	44.3578	
000.256	56.8415	43.1585	
000.318	57.8125	42.1875	
000.382	58.5943	41.4057	
000.447	59.4262	40.5738	
000.506	60.1910	39.8090	
000.570	60.8880	39.1120	
000.634	61.5063	38.4937	
000.694	61.9620	38.0380	
000.754	62.3204	37.6796	
000.818	62.8420	37.1580	
000.882	63.4179	36.5821	
000.946	64.0051	35.9949	
001.006	64.4673	35.5327	
001.070	64.8062	35.1938	
001.135	65.2573	34.7427	
001.194	65.7673	34.2327	
001.254	66.2507	33.7492	
001.319	66.7544	33.2456	
001.382	67.3907	32.6093	
001.446	67.9890	32.0110	
001.506	68.5951	31.4049	
001.570	69.2186	30.7814	
001.634	69.7405	30.2595	
001.694	70.3787	29.6213	
001.754	71.0718	28.9282	
001.818	71.8287	28.1713	
001.882	72.5670	27.4330	
001.946	73.2595	26.7405	
002.006	73.9491	26.0509	
002.071	74.6440	25.3560	
002.134	75.2525	24.7475	
002.194	75.8175	24.1825	
002.254	76.4136	23.5864	
002.318	76.9271	23.0729	
002.383	77.3819	22.6181	
002.447	77.8144	22.1856	
002.507	78.1880	21.8120	
002.571	78.5056	21.4944	
002.635	78.8145	21.1855	
002.695	79.0342	20.9658	
002.755	79.3415	20.6585	
002.819	79.5158	20.4842	
002.882	79.7724	20.2276	
002.947	79.9671	20.0329	
003.007	80.1585	19.8415	
003.071	80.4037	19.5963	
003.135	80.6541	19.3459	
003.195	80.8675	19.1325	
003.255	81.0116	18.9884	
003.319	81.1701	18.8299	
003.383	81.4246	18.5754	
003.447	81.6959	18.3041	
003.507	82.0067	17.9933	
003.570	82.3763	17.6237	
003.635	82.7372	17.2628	
003.694	83.1383	16.8617	
003.755	83.5117	16.4883	
003.819	83.8651	16.1349	
003.883	84.1394	15.8606	
003.947	84.3910	15.6090	
004.007	84.6729	15.3271	
004.070	84.9097	15.0903	
004.134	85.1420	14.8580	
7702	 7702	 7702 
7691	 7691	 7691 
000.001	50.0000	50.0000	
000.008	50.0000	50.0000	
000.011	51.5169	48.4831	
000.068	52.8673	47.1327	
000.132	54.0759	45.9241	
000.197	55.1762	44.8238	
000.257	56.2174	43.7826	
000.321	57.1611	42.8389	
000.381	58.0258	41.9742	
000.445	58.8338	41.1662	
000.509	59.4370	40.5630	
000.569	59.7483	40.2517	
000.633	60.1256	39.8744	
000.696	60.4736	39.5264	
000.756	60.8347	39.1653	
000.820	61.1195	38.8805	
000.881	61.4877	38.5123	
000.945	61.9987	38.0013	
001.009	62.5728	37.4272	
001.069	63.3614	36.6386	
001.133	64.2376	35.7624	
001.197	65.1649	34.8351	
001.257	65.9883	34.0117	
001.321	66.7614	33.2386	
001.381	67.5813	32.4187	
001.444	68.3975	31.6025	
001.509	69.2139	30.7861	
001.568	70.0136	29.9864	
001.633	70.7999	29.2001	
001.697	71.5406	28.4594	
001.757	72.1771	27.8229	
001.821	72.7240	27.2760	
001.881	73.1574	26.8426	
001.945	73.3723	26.6277	
002.009	73.5629	26.4371	
002.069	73.5707	26.4293	
002.133	73.6017	26.3983	
002.197	73.7825	26.2175	
002.257	73.9994	26.0006	
002.321	74.2878	25.7122	
002.381	74.6270	25.3730	
002.445	74.9099	25.0901	
002.509	75.1496	24.8504	
002.570	75.3279	24.6721	
002.634	75.4667	24.5333	
002.697	75.6208	24.3791	
002.757	75.7632	24.2368	
002.822	76.0064	23.9936	
002.882	76.2448	23.7551	
002.945	76.6255	23.3745	
003.009	77.0137	22.9863	
003.069	77.5268	22.4732	
003.133	78.1229	21.8771	
003.197	78.6876	21.3124	
003.257	79.2422	20.7578	
003.321	79.7837	20.2163	
003.381	80.2055	19.7945	
003.445	80.5989	19.4011	
003.509	80.9895	19.0105	
003.569	81.3879	18.6121	
003.632	81.7879	18.2121	
003.697	82.2047	17.7953	
003.757	82.6493	17.3507	
003.820	83.0135	16.9865	
003.880	83.4127	16.5873	
003.945	83.7148	16.2852	
004.008	84.0522	15.9478	
004.068	84.2991	15.7009	
004.133	84.4243	15.5757	
004.197	84.5035	15.4965	
004.257	84.5912	15.4088	
004.321	84.7025	15.2975	
004.381	84.8808	15.1192	
004.444	85.0667	14.9333	
7693	 7693	 7693 
7691	 7691	 7691 
000.001	50.0000	50.0000	
000.017	50.0000	50.0000	
000.020	50.0834	49.9166	
000.079	51.1202	48.8798	
000.142	52.0343	47.9657	
000.207	53.2588	46.7412	
000.271	54.8062	45.1938	
000.331	56.2397	43.7603	
000.391	57.6814	42.3186	
000.455	59.0538	40.9462	
000.519	60.3752	39.6248	
000.578	61.5818	38.4182	
000.643	62.6622	37.3378	
000.707	63.5865	36.4135	
000.771	64.3414	35.6586	
000.831	64.8647	35.1353	
000.891	65.3472	34.6528	
000.955	65.7579	34.2421	
001.019	66.0433	33.9567	
001.079	66.2495	33.7505	
001.143	66.5399	33.4601	
001.207	66.9421	33.0579	
001.271	67.3166	32.6834	
001.331	67.7250	32.2750	
001.391	68.2037	31.7963	
001.455	68.7095	31.2905	
001.519	69.0744	30.9256	
001.579	69.6045	30.3955	
001.643	70.1108	29.8892	
001.707	70.7399	29.2601	
001.771	71.4804	28.5196	
001.831	72.2535	27.7465	
001.891	73.0125	26.9875	
001.955	73.7884	26.2116	
002.019	74.5689	25.4311	
002.079	75.3444	24.6556	
002.143	76.0915	23.9085	
002.207	76.9032	23.0968	
002.271	77.7263	22.2737	
002.331	78.5484	21.4516	
002.391	79.3014	20.6986	
002.455	80.0057	19.9943	
002.519	80.6768	19.3232	
002.579	81.2594	18.7406	
002.643	81.8051	18.1949	
002.706	82.3512	17.6488	
002.771	82.8937	17.1063	
002.830	83.4067	16.5933	
002.890	83.8769	16.1231	
002.954	84.3148	15.6852	
003.018	84.7514	15.2486	
003.078	85.1849	14.8151	
7693	 7693	 7693 
7701	 7701	 7701 
000.001	50.0000	50.0000	
000.015	50.0000	50.0000	
000.017	51.4685	48.5315	
000.077	52.8603	47.1397	
000.141	54.0852	45.9148	
000.205	55.3177	44.6823	
000.269	56.4303	43.5697	
000.329	57.5860	42.4140	
000.389	58.6957	41.3043	
000.457	59.7347	40.2653	
000.517	60.7391	39.2609	
000.577	61.7338	38.2662	
000.641	62.7295	37.2705	
000.705	63.6671	36.3329	
000.769	64.5497	35.4503	
000.829	65.3051	34.6949	
000.889	66.0997	33.9003	
000.957	66.8745	33.1255	
001.017	67.6492	32.3508	
001.077	68.3931	31.6069	
001.141	69.1364	30.8636	
001.205	69.8007	30.1993	
001.268	70.4869	29.5131	
001.329	71.1588	28.8412	
001.389	71.7682	28.2318	
001.457	72.3779	27.6221	
001.517	73.0012	26.9988	
001.577	73.5212	26.4788	
001.640	74.0675	25.9325	
001.705	74.6176	25.3824	
001.769	75.0863	24.9137	
001.829	75.4918	24.5082	
001.889	75.9188	24.0812	
001.956	76.2899	23.7101	
002.017	76.6824	23.3176	
002.077	77.0865	22.9135	
002.140	77.4418	22.5582	
002.205	77.7809	22.2191	
002.269	78.0878	21.9122	
002.329	78.4032	21.5968	
002.389	78.7529	21.2471	
002.456	79.1104	20.8896	
002.517	79.4863	20.5137	
002.577	79.9274	20.0726	
002.641	80.3098	19.6902	
002.704	80.7110	19.2890	
002.769	81.0555	18.9445	
002.828	81.4025	18.5975	
002.889	81.6963	18.3037	
002.957	82.0306	17.9694	
003.016	82.3520	17.6480	
003.077	82.6376	17.3624	
003.140	82.9029	17.0971	
003.205	83.1624	16.8376	
003.269	83.3547	16.6453	
003.329	83.5338	16.4662	
003.389	83.7347	16.2653	
003.457	83.9866	16.0134	
003.517	84.2323	15.7677	
003.577	84.4476	15.5524	
003.641	84.6711	15.3289	
