time 	 LH 	 RH
7691	 7691	 7691 
000.451	62.0679	37.9321	
000.512	63.2698	36.7302	
000.575	64.3297	35.6703	
000.639	65.2652	34.7348	
000.703	66.1973	33.8027	
000.763	67.1744	32.8256	
000.827	68.1287	31.8713	
000.891	69.0156	30.9844	
000.951	69.8408	30.1592	
001.011	70.5707	29.4293	
001.075	71.2460	28.7540	
001.139	71.8602	28.1398	
001.203	72.4584	27.5416	
001.263	72.9940	27.0060	
001.327	73.6044	26.3956	
001.391	74.1556	25.8444	
001.451	74.6647	25.3353	
001.511	75.0692	24.9308	
001.575	75.3998	24.6002	
001.639	75.6636	24.3364	
001.703	75.8180	24.1820	
001.763	75.7820	24.2180	
001.827	75.7297	24.2703	
001.891	75.7893	24.2107	
001.951	75.9054	24.0946	
002.011	75.9565	24.0435	
002.075	76.1100	23.8900	
002.139	76.2895	23.7105	
002.203	76.3310	23.6690	
002.263	76.3877	23.6123	
002.327	76.4082	23.5918	
002.391	76.4753	23.5247	
002.451	76.5180	23.4820	
002.511	76.6289	23.3711	
002.575	76.7572	23.2428	
002.639	76.8463	23.1537	
002.703	77.0484	22.9516	
002.763	77.3509	22.6491	
002.827	77.6103	22.3897	
002.891	77.8655	22.1345	
002.951	78.1093	21.8907	
003.011	78.3447	21.6553	
003.075	78.5584	21.4416	
003.139	78.7662	21.2338	
003.203	78.9697	21.0303	
003.263	79.2134	20.7866	
003.327	79.5142	20.4858	
003.391	79.7316	20.2684	
003.451	79.8951	20.1049	
003.511	80.1037	19.8963	
003.575	80.3898	19.6102	
003.639	80.7004	19.2996	
003.703	81.0318	18.9682	
003.763	81.3357	18.6643	
003.827	81.7072	18.2928	
003.891	82.0770	17.9230	
003.951	82.4704	17.5296	
004.011	82.8774	17.1226	
004.075	83.2306	16.7694	
004.139	83.5508	16.4492	
004.203	83.8400	16.1600	
004.263	84.0984	15.9016	
004.327	84.2421	15.7579	
004.391	84.4362	15.5638	
004.451	84.6756	15.3244	
004.515	84.8124	15.1876	
004.575	85.0172	14.9828	
7693	 7693	 7693 
7691	 7691	 7691 
000.001	50.0000	50.0000	
000.030	50.0000	50.0000	
000.033	51.5745	48.4255	
000.095	52.9780	47.0220	
000.155	54.2194	45.7806	
000.219	55.3639	44.6361	
000.283	56.5846	43.4154	
000.343	57.9517	42.0483	
000.406	59.2999	40.7001	
000.471	60.6560	39.3440	
000.530	61.9246	38.0754	
000.595	63.0900	36.9100	
000.655	64.1954	35.8045	
000.719	65.2642	34.7358	
000.783	66.2882	33.7118	
000.843	67.2617	32.7383	
000.907	68.2807	31.7193	
000.971	69.2209	30.7791	
001.031	70.1903	29.8097	
001.095	71.2245	28.7755	
001.155	72.2734	27.7266	
001.219	73.2763	26.7237	
001.283	74.2018	25.7982	
001.343	75.0623	24.9377	
001.407	75.8172	24.1828	
001.471	76.5066	23.4934	
001.531	77.1561	22.8439	
001.595	77.7351	22.2649	
001.655	78.2505	21.7495	
001.719	78.7090	21.2910	
001.783	79.1526	20.8474	
001.843	79.5423	20.4577	
001.907	79.9600	20.0400	
001.971	80.4014	19.5986	
002.031	80.7771	19.2229	
002.094	81.1187	18.8813	
002.155	81.2487	18.7513	
002.218	81.3645	18.6355	
002.282	81.4118	18.5882	
002.342	81.5024	18.4975	
002.407	81.6110	18.3890	
002.471	81.6883	18.3117	
002.530	81.8833	18.1167	
002.594	82.1057	17.8943	
002.654	82.3945	17.6055	
002.719	82.7038	17.2962	
002.782	83.0113	16.9887	
002.842	83.3811	16.6189	
002.906	83.6560	16.3440	
002.970	83.9182	16.0818	
003.030	84.1207	15.8793	
003.094	84.2904	15.7096	
003.154	84.5397	15.4603	
003.218	84.7724	15.2276	
003.282	84.9763	15.0237	
003.342	85.1364	14.8636	
7693	 7693	 7693 
7691	 7691	 7691 
000.001	50.0000	50.0000	
000.041	50.0000	50.0000	
000.044	52.0518	47.9482	
000.106	53.9616	46.0384	
000.166	55.7062	44.2938	
000.230	57.3273	42.6727	
000.294	58.9113	41.0887	
000.358	60.4114	39.5886	
000.418	61.8967	38.1033	
000.478	63.3461	36.6539	
000.542	64.7258	35.2742	
000.606	66.0108	33.9892	
000.666	67.2963	32.7037	
000.730	68.4222	31.5778	
000.794	69.4231	30.5769	
000.858	70.3105	29.6895	
000.918	71.1464	28.8536	
000.978	71.9170	28.0830	
001.042	72.6440	27.3560	
001.106	73.3991	26.6009	
001.166	74.1179	25.8821	
001.230	74.8259	25.1741	
001.294	75.4852	24.5148	
001.358	76.1298	23.8702	
001.418	76.6907	23.3093	
001.478	77.1699	22.8301	
001.542	77.6020	22.3980	
001.606	78.0088	21.9912	
001.666	78.3587	21.6413	
001.730	78.7107	21.2893	
001.794	79.1320	20.8680	
001.858	79.6231	20.3769	
001.918	80.1285	19.8715	
001.978	80.5689	19.4311	
002.042	80.9396	19.0604	
002.106	81.2636	18.7364	
002.166	81.5778	18.4222	
002.230	81.8843	18.1157	
002.294	82.2160	17.7840	
002.358	82.4786	17.5214	
002.418	82.7019	17.2981	
002.478	82.9094	17.0906	
002.542	83.0194	16.9806	
002.606	83.1859	16.8141	
002.666	83.4345	16.5655	
002.730	83.6595	16.3405	
002.794	83.8599	16.1401	
002.858	83.9875	16.0125	
002.918	84.0746	15.9254	
002.978	84.1764	15.8236	
003.042	84.2683	15.7317	
003.106	84.3253	15.6747	
003.166	84.4622	15.5378	
003.230	84.6228	15.3772	
003.294	84.7399	15.2601	
003.358	84.8155	15.1845	
003.418	84.9479	15.0521	
003.478	85.1298	14.8702	
7693	 7693	 7693 
7701	 7701	 7701 
000.001	50.0000	50.0000	
000.040	50.0000	50.0000	
000.043	51.8497	48.1503	
000.109	53.5730	46.4270	
000.170	55.1980	44.8020	
000.229	56.6988	43.3012	
000.293	58.1697	41.8303	
000.357	59.5358	40.4642	
000.421	60.8322	39.1678	
000.481	62.1018	37.8982	
000.541	63.3818	36.6182	
000.609	64.4985	35.5015	
000.669	65.6843	34.3157	
000.729	66.7951	33.2049	
000.793	67.9418	32.0582	
000.857	69.0337	30.9663	
000.921	70.0392	29.9608	
000.981	71.1109	28.8892	
001.041	72.0703	27.9297	
001.109	72.9724	27.0276	
001.169	73.7511	26.2489	
001.229	74.4418	25.5582	
001.293	75.1404	24.8596	
001.357	75.7997	24.2003	
001.421	76.3715	23.6285	
001.481	76.8517	23.1483	
001.541	77.2750	22.7250	
001.609	77.6482	22.3518	
001.669	77.8097	22.1903	
001.729	77.9729	22.0271	
001.793	78.1029	21.8971	
001.857	78.2279	21.7721	
001.921	78.2321	21.7679	
001.981	78.0529	21.9471	
002.041	78.0468	21.9532	
002.109	78.0864	21.9136	
002.169	78.1356	21.8644	
002.229	78.2281	21.7719	
002.293	78.4055	21.5945	
002.357	78.5045	21.4955	
002.421	78.7187	21.2813	
002.481	78.9447	21.0553	
002.541	79.0828	20.9172	
002.609	79.1976	20.8024	
002.669	79.3342	20.6658	
002.729	79.4704	20.5296	
002.793	79.5786	20.4214	
002.857	79.6467	20.3533	
002.921	79.7890	20.2110	
002.981	80.0023	19.9977	
003.045	80.0527	19.9473	
003.109	80.0078	19.9922	
003.169	79.7838	20.2162	
003.229	79.4725	20.5275	
003.293	79.0974	20.9026	
003.357	78.9826	21.0174	
003.421	78.8474	21.1526	
003.481	78.7805	21.2195	
003.545	78.7490	21.2510	
003.609	78.6778	21.3222	
003.669	78.6177	21.3823	
003.729	78.6428	21.3572	
003.793	78.6870	21.3130	
003.857	78.8318	21.1682	
003.921	78.9233	21.0767	
003.981	78.9875	21.0125	
004.045	79.0552	20.9448	
004.109	79.1577	20.8423	
004.169	79.2778	20.7222	
004.229	79.4417	20.5583	
004.293	79.5800	20.4200	
004.357	79.6653	20.3347	
004.421	79.8113	20.1887	
004.481	79.9901	20.0099	
004.545	80.1046	19.8954	
004.609	80.2989	19.7011	
004.669	80.5680	19.4320	
004.729	80.8757	19.1243	
004.793	81.2095	18.7905	
004.857	81.5802	18.4198	
004.921	81.9277	18.0723	
004.981	82.2899	17.7101	
005.045	82.6032	17.3968	
005.109	82.8847	17.1153	
005.169	83.1603	16.8397	
005.229	83.4606	16.5394	
005.293	83.7115	16.2885	
005.357	83.9064	16.0936	
005.421	84.1411	15.8589	
005.481	84.4056	15.5944	
005.545	84.7107	15.2893	
005.609	84.9039	15.0961	
005.669	85.0393	14.9607	
7702	 7702	 7702 
7701	 7701	 7701 
000.001	50.0000	50.0000	
000.026	50.0000	50.0000	
000.028	51.2080	48.7920	
000.091	52.4759	47.5241	
000.155	53.6948	46.3052	
000.215	54.9298	45.0702	
000.279	56.2001	43.7999	
000.343	57.3486	42.6514	
000.403	58.3715	41.6285	
000.463	59.2226	40.7774	
000.527	60.0833	39.9167	
000.591	61.0577	38.9423	
000.655	62.0492	37.9508	
000.715	62.9408	37.0592	
000.779	63.8133	36.1867	
000.843	64.6863	35.3137	
000.903	65.5553	34.4447	
000.967	66.4150	33.5850	
001.027	67.2898	32.7102	
001.091	68.0691	31.9309	
001.155	68.8764	31.1236	
001.215	69.6559	30.3441	
001.279	70.5096	29.4904	
001.343	71.3088	28.6912	
001.403	72.1061	27.8939	
001.467	72.9310	27.0690	
001.527	73.5934	26.4066	
001.591	74.1985	25.8015	
001.655	74.8518	25.1482	
001.715	75.4562	24.5438	
001.779	76.0327	23.9673	
001.843	76.6630	23.3370	
001.903	77.1692	22.8308	
001.967	77.6540	22.3460	
002.027	78.0533	21.9467	
002.091	78.4439	21.5561	
002.155	78.8147	21.1853	
002.215	79.1914	20.8086	
002.279	79.4916	20.5084	
002.343	79.7970	20.2030	
002.403	80.1143	19.8857	
002.467	80.3674	19.6326	
002.527	80.5978	19.4022	
002.591	80.8218	19.1782	
002.655	80.9266	19.0734	
002.715	81.0657	18.9343	
002.779	81.2469	18.7531	
002.843	81.3883	18.6117	
