time 	 LH 	 RH
7691	 7691	 7691 
000.007	50.0000	50.0000	
000.014	51.8471	48.1529	
000.065	53.5231	46.4769	
000.128	55.0974	44.9026	
000.196	56.6075	43.3925	
000.257	58.1453	41.8547	
000.316	59.6582	40.3418	
000.375	61.1689	38.8311	
000.439	62.6241	37.3759	
000.503	63.9956	36.0044	
000.563	65.2625	34.7375	
000.627	66.4125	33.5875	
000.691	67.5439	32.4561	
000.755	68.6629	31.3371	
000.815	69.6672	30.3328	
000.875	70.6594	29.3406	
000.939	71.6019	28.3981	
001.003	72.5065	27.4935	
001.063	73.4035	26.5965	
001.127	74.2182	25.7818	
001.191	74.9560	25.0440	
001.255	75.5473	24.4527	
001.315	76.0667	23.9333	
001.375	76.3907	23.6093	
001.439	76.7663	23.2337	
001.503	77.0872	22.9128	
001.563	77.4065	22.5935	
001.627	77.7305	22.2695	
001.691	77.9619	22.0381	
001.755	78.0728	21.9272	
001.815	78.2877	21.7123	
001.875	78.5335	21.4665	
001.939	78.7869	21.2131	
002.003	79.0151	20.9849	
002.063	79.3543	20.6457	
002.127	79.7270	20.2730	
002.191	80.0890	19.9110	
002.255	80.4609	19.5391	
002.315	80.7363	19.2637	
002.375	81.0241	18.9759	
002.439	81.2331	18.7669	
002.503	81.4927	18.5073	
002.563	81.8042	18.1958	
002.627	82.1501	17.8499	
002.691	82.5017	17.4983	
002.755	82.8073	17.1927	
002.815	83.0359	16.9641	
002.875	83.2140	16.7860	
002.940	83.3318	16.6682	
003.003	83.4726	16.5274	
003.063	83.4914	16.5086	
003.128	83.4860	16.5140	
003.191	83.4530	16.5470	
003.255	83.4446	16.5554	
003.315	83.5585	16.4415	
003.375	83.6474	16.3526	
003.439	83.7536	16.2464	
003.503	83.9067	16.0933	
003.563	84.0268	15.9732	
003.635	84.1123	15.8877	
003.691	84.1402	15.8598	
003.755	84.2399	15.7601	
003.815	84.3027	15.6973	
003.875	84.3748	15.6252	
003.939	84.4808	15.5192	
004.003	84.5634	15.4366	
004.063	84.7130	15.2870	
004.127	84.9076	15.0924	
004.191	85.0900	14.9100	
7693	 7693	 7693 
7691	 7691	 7691 
000.001	50.0000	50.0000	
000.063	50.0000	50.0000	
000.066	51.7537	48.2463	
000.128	53.3701	46.6299	
000.188	55.0006	44.9994	
000.249	56.5055	43.4945	
000.316	57.9584	42.0416	
000.376	59.3368	40.6632	
000.436	60.6134	39.3866	
000.500	61.7989	38.2011	
000.564	62.8921	37.1079	
000.628	63.8431	36.1569	
000.689	64.8088	35.1912	
000.749	65.6631	34.3369	
000.817	66.4400	33.5600	
000.877	67.0700	32.9300	
000.937	67.6437	32.3563	
001.001	68.1192	31.8808	
001.065	68.5680	31.4320	
001.128	68.9636	31.0364	
001.189	69.2238	30.7762	
001.248	69.5016	30.4984	
001.317	69.7205	30.2795	
001.376	69.9277	30.0723	
001.437	70.1636	29.8364	
001.501	70.4723	29.5277	
001.565	70.9675	29.0325	
001.629	71.5108	28.4892	
001.689	72.0179	27.9821	
001.749	72.5506	27.4494	
001.817	73.0496	26.9504	
001.877	73.5619	26.4381	
001.937	74.0528	25.9472	
002.001	74.5473	25.4527	
002.065	75.1272	24.8728	
002.129	75.6451	24.3549	
002.188	76.1052	23.8948	
002.249	76.5645	23.4355	
002.316	77.0426	22.9574	
002.377	77.5669	22.4331	
002.437	78.0635	21.9365	
002.501	78.5523	21.4477	
002.565	78.8942	21.1058	
002.629	79.2637	20.7363	
002.689	79.5363	20.4637	
002.749	79.8139	20.1861	
002.817	80.0753	19.9247	
002.877	80.2671	19.7329	
002.937	80.4565	19.5435	
003.001	80.6995	19.3005	
003.065	80.8734	19.1266	
003.129	81.0774	18.9226	
003.189	81.2588	18.7412	
003.249	81.4182	18.5818	
003.317	81.6045	18.3955	
003.377	81.6838	18.3162	
003.436	81.6890	18.3110	
003.500	81.6382	18.3618	
003.564	81.6993	18.3007	
003.628	81.6611	18.3389	
003.688	81.7173	18.2827	
003.748	81.6849	18.3151	
003.817	81.7016	18.2984	
003.877	81.7456	18.2544	
003.937	81.8156	18.1844	
004.001	81.8264	18.1736	
004.064	81.8790	18.1210	
004.129	82.0360	17.9640	
004.189	82.3184	17.6816	
004.249	82.5672	17.4328	
004.317	82.7557	17.2443	
004.377	82.9046	17.0954	
004.437	83.0738	16.9262	
004.501	83.1714	16.8286	
004.565	83.2000	16.8000	
004.629	83.2572	16.7428	
004.689	83.2804	16.7196	
004.749	83.2498	16.7502	
004.817	83.1937	16.8063	
004.877	83.1970	16.8030	
004.937	83.0787	16.9213	
005.001	82.9264	17.0736	
005.065	82.8037	17.1963	
005.129	82.7123	17.2877	
005.189	82.4903	17.5097	
005.249	82.3160	17.6840	
005.317	82.1991	17.8009	
005.377	82.1597	17.8403	
005.437	82.1705	17.8295	
005.501	82.1672	17.8328	
005.565	82.2486	17.7514	
005.629	82.3764	17.6236	
005.689	82.4682	17.5318	
005.749	82.6919	17.3081	
005.816	82.9380	17.0620	
005.877	83.2139	16.7861	
005.936	83.4833	16.5167	
006.000	83.8201	16.1799	
006.064	84.1622	15.8378	
006.128	84.4279	15.5721	
006.188	84.7712	15.2288	
006.248	85.1342	14.8658	
7693	 7693	 7693 
7701	 7701	 7701 
000.001	50.0000	50.0000	
000.040	50.0000	50.0000	
000.043	51.7023	48.2977	
000.102	53.2882	46.7118	
000.165	54.7840	45.2160	
000.230	56.2082	43.7918	
000.290	57.5604	42.4396	
000.349	58.7670	41.2330	
000.414	59.9568	40.0432	
000.478	61.1780	38.8220	
000.541	62.2741	37.7259	
000.601	63.2616	36.7384	
000.665	64.2776	35.7224	
000.730	65.3358	34.6642	
000.790	66.3540	33.6460	
000.850	67.3759	32.6241	
000.913	68.4119	31.5881	
000.977	69.3831	30.6169	
001.041	70.2881	29.7119	
001.102	71.1847	28.8153	
001.166	72.0829	27.9171	
001.230	72.9383	27.0617	
001.290	73.7706	26.2294	
001.350	74.5299	25.4701	
001.414	75.3525	24.6475	
001.478	76.0148	23.9852	
001.542	76.5876	23.4124	
001.602	77.1331	22.8669	
001.666	77.5931	22.4068	
001.730	77.9446	22.0554	
001.790	78.2156	21.7845	
001.850	78.5742	21.4258	
001.914	78.8884	21.1116	
001.977	79.2157	20.7843	
002.042	79.5799	20.4201	
002.102	79.8909	20.1091	
002.166	80.2248	19.7752	
002.229	80.5232	19.4768	
002.289	80.8310	19.1690	
002.350	81.1914	18.8086	
002.414	81.4003	18.5997	
002.478	81.7243	18.2757	
002.542	82.0437	17.9562	
002.602	82.3424	17.6576	
002.666	82.6361	17.3639	
002.730	82.9392	17.0608	
002.790	83.2272	16.7728	
002.850	83.4730	16.5270	
002.914	83.6452	16.3548	
002.977	83.6933	16.3067	
003.042	83.7173	16.2827	
003.102	83.8475	16.1525	
003.166	83.9556	16.0444	
003.230	84.0259	15.9741	
003.290	84.0940	15.9060	
003.349	84.1040	15.8960	
003.413	84.1541	15.8459	
003.477	84.1448	15.8552	
003.541	84.1576	15.8424	
003.602	84.1806	15.8194	
003.666	84.1704	15.8296	
003.729	84.2341	15.7659	
003.789	84.3326	15.6674	
003.849	84.4404	15.5596	
003.913	84.5902	15.4098	
003.977	84.8034	15.1966	
004.042	84.9863	15.0137	
004.102	85.1142	14.8858	
7702	 7702	 7702 
7701	 7701	 7701 
000.001	50.0000	50.0000	
000.061	50.0000	50.0000	
000.063	51.6580	48.3420	
000.126	53.2743	46.7257	
000.186	54.7806	45.2194	
000.250	56.2159	43.7841	
000.314	57.6382	42.3618	
000.374	58.9922	41.0078	
000.438	60.2866	39.7134	
000.498	61.5871	38.4129	
000.562	62.8374	37.1626	
000.626	64.1665	35.8335	
000.686	65.5269	34.4731	
000.750	66.8547	33.1453	
000.814	68.1595	31.8405	
000.874	69.4896	30.5104	
000.938	70.7688	29.2312	
000.998	71.9293	28.0707	
001.062	73.0027	26.9973	
001.126	74.0390	25.9610	
001.186	75.0410	24.9590	
001.250	75.9856	24.0144	
001.314	76.8750	23.1250	
001.374	77.7389	22.2611	
001.438	78.5578	21.4422	
001.498	79.3235	20.6765	
001.562	79.9889	20.0111	
001.626	80.5373	19.4627	
001.686	81.0309	18.9691	
001.750	81.4732	18.5268	
001.814	81.8355	18.1645	
001.874	82.0607	17.9393	
001.938	82.2114	17.7886	
001.998	82.4163	17.5837	
002.062	82.5962	17.4038	
002.126	82.7281	17.2719	
002.186	82.8461	17.1539	
002.250	83.0123	16.9877	
002.314	83.1227	16.8773	
002.374	83.1874	16.8126	
002.438	83.2211	16.7789	
002.498	83.2728	16.7272	
002.562	83.3261	16.6739	
002.626	83.5243	16.4757	
002.686	83.6192	16.3808	
002.750	83.7358	16.2642	
002.814	83.8088	16.1912	
002.874	83.7948	16.2052	
002.938	83.8794	16.1206	
002.998	84.0050	15.9950	
003.062	84.1492	15.8508	
003.126	84.2584	15.7416	
003.186	84.4483	15.5517	
003.250	84.6098	15.3902	
003.314	84.7740	15.2260	
003.374	85.0009	14.9991	
7702	 7702	 7702 
7701	 7701	 7701 
000.001	50.0000	50.0000	
000.062	50.0000	50.0000	
000.065	51.7379	48.2621	
000.127	53.3844	46.6156	
000.187	54.9546	45.0454	
000.251	56.3350	43.6650	
000.315	57.5856	42.4144	
000.379	58.7607	41.2393	
000.439	59.8148	40.1852	
000.499	60.8933	39.1067	
000.563	62.0168	37.9832	
000.627	63.1750	36.8250	
000.687	64.2533	35.7467	
000.751	65.2794	34.7206	
000.815	66.1382	33.8618	
000.879	67.0021	32.9979	
000.939	67.7526	32.2475	
000.999	68.5274	31.4726	
001.063	69.1576	30.8424	
001.127	69.6977	30.3023	
001.187	70.2094	29.7906	
001.251	70.9008	29.0992	
001.315	71.5818	28.4182	
001.379	72.1971	27.8029	
001.439	72.7329	27.2671	
001.499	73.2309	26.7691	
001.563	73.6578	26.3422	
001.627	73.9248	26.0752	
001.687	74.2337	25.7663	
