time 	 LH 	 RH
7701	 7701	 7701 
005.933	81.3040	18.6960	
005.996	81.1907	18.8093	
006.060	81.0194	18.9806	
006.124	80.8538	19.1462	
006.184	80.6220	19.3780	
006.244	80.5033	19.4967	
006.308	80.3312	19.6688	
006.372	80.0888	19.9112	
006.432	79.7138	20.2862	
006.496	79.1992	20.8008	
006.560	78.5871	21.4129	
006.624	77.9668	22.0332	
006.684	77.4958	22.5042	
006.744	77.0179	22.9821	
006.808	76.5770	23.4230	
006.873	76.1831	23.8169	
006.932	75.8908	24.1092	
006.996	75.8161	24.1839	
007.060	75.7630	24.2370	
7692	 7692	 7692 
7701	 7701	 7701 
000.001	50.0000	50.0000	
000.055	50.0000	50.0000	
000.057	50.6827	49.3173	
000.120	51.3592	48.6408	
000.184	52.0434	47.9566	
000.248	52.7440	47.2560	
000.308	53.4903	46.5097	
000.368	54.2613	45.7387	
000.436	55.1553	44.8447	
000.496	56.0951	43.9049	
000.556	57.0759	42.9241	
000.620	58.0166	41.9834	
000.684	58.8613	41.1387	
000.748	59.6174	40.3826	
000.808	60.3246	39.6754	
000.868	60.9427	39.0573	
000.936	61.4379	38.5621	
000.996	61.8563	38.1437	
001.056	62.1722	37.8278	
001.120	62.4703	37.5297	
001.184	62.7183	37.2817	
001.248	62.8667	37.1333	
001.308	62.9765	37.0235	
001.368	63.0714	36.9286	
001.436	63.2088	36.7912	
001.496	63.3722	36.6278	
001.556	63.5034	36.4966	
001.620	63.6360	36.3640	
001.684	63.7147	36.2853	
001.748	63.9444	36.0556	
001.808	64.1869	35.8131	
001.868	64.3989	35.6011	
001.936	64.6466	35.3534	
001.996	64.9125	35.0875	
002.056	65.1017	34.8983	
002.120	65.0967	34.9033	
002.184	65.1154	34.8846	
002.248	65.0949	34.9051	
002.308	65.1602	34.8398	
002.368	65.3260	34.6740	
002.436	65.3417	34.6583	
002.496	65.4287	34.5713	
002.556	65.4862	34.5138	
002.620	65.5251	34.4749	
002.684	65.5253	34.4747	
002.748	65.4046	34.5954	
002.808	65.2777	34.7223	
002.868	65.2859	34.7141	
002.936	65.3320	34.6680	
002.996	65.4703	34.5297	
003.056	65.7528	34.2472	
003.120	66.1640	33.8360	
003.184	66.6132	33.3868	
003.248	67.2320	32.7680	
003.308	67.7878	32.2122	
003.368	68.1666	31.8334	
003.436	68.4749	31.5251	
003.496	68.7964	31.2036	
003.556	69.1292	30.8708	
003.620	69.5853	30.4148	
003.684	70.0581	29.9419	
003.748	70.5023	29.4977	
003.808	71.0209	28.9791	
003.868	71.4093	28.5907	
003.936	71.7963	28.2037	
003.996	72.1587	27.8413	
004.056	72.5823	27.4177	
004.120	73.0190	26.9810	
004.184	73.3328	26.6672	
004.248	73.5946	26.4054	
004.308	73.7859	26.2141	
004.368	73.9440	26.0560	
004.436	74.0353	25.9647	
004.496	73.9794	26.0206	
004.556	73.9938	26.0062	
004.620	73.7310	26.2690	
004.684	73.4582	26.5418	
004.748	73.2094	26.7906	
004.808	72.9901	27.0099	
004.868	72.7843	27.2157	
004.936	72.3923	27.6077	
004.996	72.0562	27.9438	
005.056	71.8460	28.1540	
005.120	71.7315	28.2685	
005.184	71.6500	28.3500	
005.248	71.5053	28.4947	
005.308	71.4088	28.5912	
005.368	71.3832	28.6168	
005.436	71.4328	28.5672	
005.496	71.4749	28.5251	
005.556	71.4474	28.5526	
005.620	71.5351	28.4649	
005.684	71.6443	28.3557	
005.748	71.8215	28.1785	
005.808	71.9747	28.0253	
005.868	72.0783	27.9217	
005.936	72.2401	27.7599	
005.996	72.2912	27.7088	
006.056	72.2232	27.7768	
006.120	72.1782	27.8218	
006.184	72.1217	27.8783	
006.248	72.0654	27.9346	
006.308	71.9728	28.0272	
006.368	71.9044	28.0956	
006.436	71.8125	28.1875	
006.496	71.8395	28.1605	
006.556	71.9603	28.0397	
006.620	72.0365	27.9635	
006.684	72.0900	27.9100	
006.748	72.0563	27.9437	
006.808	71.9579	28.0421	
006.872	72.0050	27.9950	
006.936	71.8686	28.1314	
006.996	71.9479	28.0521	
007.056	72.0206	27.9794	
7702	 7702	 7702 
7701	 7701	 7701 
000.001	50.0000	50.0000	
000.063	50.0000	50.0000	
000.066	50.8589	49.1411	
000.128	51.6861	48.3139	
000.192	52.5736	47.4264	
000.252	53.5140	46.4860	
000.316	54.4527	45.5473	
000.380	55.2721	44.7279	
000.441	56.1389	43.8611	
000.501	57.0686	42.9314	
000.564	57.9435	42.0565	
000.628	58.8192	41.1808	
000.692	59.6433	40.3567	
000.753	60.4165	39.5835	
000.816	61.1497	38.8503	
000.880	61.7889	38.2111	
000.941	62.4311	37.5689	
001.001	63.0061	36.9939	
001.064	63.3375	36.6625	
001.129	63.5379	36.4621	
001.193	63.7212	36.2788	
001.252	63.8511	36.1489	
001.316	64.1020	35.8980	
001.381	64.2502	35.7498	
001.440	64.4220	35.5780	
001.501	64.6985	35.3015	
001.565	64.7977	35.2023	
001.628	64.8355	35.1645	
001.692	64.9173	35.0827	
001.752	65.0800	34.9200	
001.816	65.2556	34.7444	
001.881	65.4511	34.5489	
001.941	65.7104	34.2896	
002.001	66.1238	33.8762	
002.064	66.5198	33.4802	
002.128	67.0106	32.9893	
002.192	67.4703	32.5297	
002.252	67.9246	32.0754	
002.316	68.2459	31.7541	
002.380	68.5104	31.4896	
002.441	68.6732	31.3268	
002.501	68.7149	31.2851	
002.565	68.8168	31.1832	
002.629	68.8516	31.1484	
002.693	68.7790	31.2210	
002.752	68.6504	31.3496	
002.817	68.3704	31.6296	
002.881	68.3591	31.6409	
002.941	68.3059	31.6941	
003.001	68.0688	31.9312	
003.065	67.9119	32.0881	
003.129	67.7626	32.2374	
003.193	67.4046	32.5954	
003.253	66.9631	33.0369	
003.317	66.4893	33.5107	
003.381	66.0002	33.9998	
003.441	65.5589	34.4411	
003.505	65.2473	34.7527	
003.565	64.9600	35.0400	
003.629	64.7942	35.2058	
003.693	64.6333	35.3667	
003.753	64.3914	35.6086	
003.817	64.2231	35.7769	
003.881	63.7420	36.2580	
003.941	63.2580	36.7420	
004.005	62.8464	37.1536	
004.065	62.6390	37.3610	
004.129	62.4340	37.5660	
004.193	62.3650	37.6350	
004.253	62.2677	37.7323	
004.317	62.2425	37.7575	
004.380	62.3994	37.6006	
004.440	62.4664	37.5336	
004.504	62.5212	37.4788	
004.564	62.6694	37.3306	
004.628	62.8451	37.1549	
004.693	63.1637	36.8363	
004.752	63.5473	36.4527	
004.816	63.8639	36.1361	
004.880	64.2150	35.7850	
004.941	64.5337	35.4663	
005.005	64.8265	35.1735	
005.065	64.9629	35.0371	
005.129	65.0983	34.9017	
005.193	65.2817	34.7183	
